@RELATION nfl

@ATTRIBUTE Year real
@ATTRIBUTE Week real
@ATTRIBUTE homeTotalYds real
@ATTRIBUTE homePassYds real
@ATTRIBUTE homeRushYds real
@ATTRIBUTE homeFirstDowns real
@ATTRIBUTE homeTurnovers real
@ATTRIBUTE homePunts real
@ATTRIBUTE homePosTime real
@ATTRIBUTE awayTotalYds real
@ATTRIBUTE awayPassYds real
@ATTRIBUTE awayRushYds real
@ATTRIBUTE awayFirstDowns real
@ATTRIBUTE awayTurnovers real
@ATTRIBUTE awayPunts real
@ATTRIBUTE awayPosTime real
@ATTRIBUTE class {H,A}

@Data
2009,14,124,81,43,6,3,8,1554,310,135,175,14,1,5,2046,A
2009,14,446,286,160,19,1,3,1683,240,152,88,15,5,7,1917,H
2009,14,227,162,65,15,1,6,1927,295,195,100,21,1,5,1673,A
2009,14,347,239,108,22,0,3,1795,341,268,73,21,1,3,1805,A
2009,14,512,379,133,27,4,3,2086,374,297,77,20,1,4,1514,A
2009,14,327,138,189,18,2,5,2205,245,160,85,11,7,4,1395,H
2009,15,345,206,139,25,1,3,2126,369,308,61,18,1,3,1474,A
2009,15,336,271,65,23,3,4,1414,439,294,145,24,0,5,2186,A
2009,15,346,222,124,18,1,7,1938,220,98,122,13,6,5,1662,H
2009,15,241,136,105,16,1,5,2012,224,115,109,19,1,5,1588,A
2009,15,282,121,161,15,3,5,1817,340,223,117,21,3,7,1783,A
2009,15,491,323,168,22,1,6,1535,417,66,351,20,3,2,2065,A
2009,15,314,215,99,17,3,5,1824,238,152,86,12,0,8,1776,A
2009,15,422,306,116,21,2,4,1863,261,154,107,13,4,4,1737,H
2009,15,537,472,65,28,0,5,2122,436,376,60,18,0,5,1478,H
2009,15,237,149,88,15,2,4,1760,419,367,52,22,2,2,1840,A
2009,15,364,236,128,19,2,5,1759,468,347,121,23,4,3,2063,H
2009,15,337,257,80,19,0,6,1714,343,102,241,22,2,4,1886,A
2009,15,366,296,70,20,2,4,1694,407,293,114,19,1,5,1906,H
2009,15,380,252,128,23,5,4,1676,339,205,134,15,1,4,1924,A
2009,15,397,273,124,23,0,7,2279,237,196,41,10,2,8,1321,H
2009,15,302,213,89,15,3,4,1545,387,273,114,23,0,2,2055,A
2009,16,270,88,182,17,3,3,1253,425,259,166,30,1,1,2347,A
2009,16,391,234,157,24,0,4,2065,178,138,40,11,3,7,1535,H
2009,16,274,130,144,17,1,7,2032,295,172,123,17,2,6,1568,H
2009,16,282,118,164,16,1,6,1822,389,301,88,19,3,5,1778,H
2009,16,417,264,153,20,0,4,1934,291,176,115,17,4,4,1666,H
2009,16,363,303,60,23,1,5,1642,406,280,126,21,1,4,1958,A
2009,16,317,257,60,22,4,3,1664,416,169,247,25,0,2,1936,A
2009,16,464,267,197,26,1,1,1945,275,177,98,16,2,4,1655,H
2009,16,373,249,124,23,1,4,1839,439,263,176,24,2,3,2175,A
2009,16,394,289,105,22,3,5,1843,241,171,70,13,1,7,1757,H
2009,16,286,238,48,17,2,4,1647,323,148,175,20,3,4,1953,H
2009,16,407,297,110,26,1,6,2051,238,150,88,14,4,5,1549,H
2009,16,310,226,84,13,1,6,1838,289,175,114,16,6,5,1762,H
2009,16,286,222,64,18,2,6,1614,293,91,202,17,0,5,1986,A
2009,16,218,175,43,15,1,8,1498,393,285,108,22,1,3,2102,A
2009,16,363,258,105,19,1,5,1760,423,300,123,26,2,6,2185,H
2009,17,403,155,248,19,0,5,2254,157,132,25,11,3,6,1346,H
2009,17,327,149,178,15,0,8,1838,213,102,111,14,3,9,1762,H
2009,17,300,86,214,18,1,3,1978,328,197,131,18,1,4,1622,H
2009,17,474,295,179,21,1,3,2423,228,191,37,10,1,7,1177,H
2009,17,349,249,100,18,2,3,1847,418,268,150,22,0,5,1753,A
2009,17,439,295,144,29,1,2,1894,317,243,74,21,2,3,1706,H
2009,17,303,204,99,20,3,4,1671,403,201,202,22,2,2,1929,A
2009,17,487,358,129,28,0,2,2212,181,146,35,11,2,7,1388,H
2009,17,320,63,257,21,0,3,2474,72,0,72,5,3,7,1126,H
2009,17,109,22,87,6,0,11,1612,329,204,125,16,0,9,1988,A
2009,17,206,168,38,13,2,7,1471,397,214,183,24,3,3,2129,A
2009,17,187,139,48,13,3,4,1353,345,236,109,24,1,2,2247,A
2009,17,512,428,84,30,3,6,1983,524,207,317,22,2,3,1617,A
2009,17,325,274,51,20,2,5,1934,330,90,240,16,0,5,1666,A
2009,17,364,314,50,19,1,3,1647,339,275,64,18,0,5,1953,H
2009,17,309,169,140,16,1,6,1658,304,171,133,19,2,4,1942,A
2010,1,308,229,79,18,0,5,2023,253,162,91,12,1,7,1577,H
2010,1,288,169,119,13,2,7,1941,340,236,104,15,3,6,1659,H
2010,1,166,116,50,9,0,7,1387,296,164,132,19,0,7,2213,A
2010,1,376,258,118,20,0,1,1690,428,341,87,26,2,3,1910,H
2010,1,355,98,257,23,1,2,1853,463,419,44,25,1,5,1747,H
2010,1,299,165,134,18,0,4,1770,363,274,89,21,2,4,1830,H
2010,1,345,140,205,17,1,4,1864,286,151,135,21,2,4,1736,H
2010,1,376,258,118,21,4,3,2079,237,148,89,14,5,4,1521,H
2010,1,463,362,101,23,4,5,2082,168,148,20,13,3,8,1518,H
2010,1,325,240,85,20,4,6,1971,378,266,112,21,4,6,1629,A
2010,1,354,211,143,14,1,5,1926,295,237,58,18,1,7,1829,H
2010,1,321,171,150,16,1,5,1685,299,167,132,22,2,4,1915,A
2010,1,242,165,77,14,1,5,1635,263,214,49,14,2,6,1965,H
2010,1,250,161,89,17,0,6,1557,380,277,103,24,1,6,2043,H
2010,1,176,60,116,6,1,6,1288,282,233,49,20,3,6,2312,A
2010,1,197,62,135,9,0,9,1352,389,280,109,18,1,8,2248,H
2010,2,421,403,18,21,0,4,1907,526,468,58,29,1,3,2389,A
2010,2,346,255,91,18,0,3,1856,186,62,124,14,2,5,1744,H
2010,2,364,208,156,22,4,2,2148,226,106,120,12,2,6,1452,A
2010,2,299,226,73,13,2,8,1607,312,172,140,16,2,6,1993,A
2010,2,238,192,46,14,7,5,1580,127,21,106,7,1,8,2020,A
2010,2,410,374,36,23,3,3,2020,308,270,38,14,0,6,1580,A
2010,2,444,329,115,22,2,4,1748,409,247,162,24,0,7,1852,A
2010,2,444,223,221,33,1,2,2353,267,149,118,11,3,5,1247,H
