@RELATION nflpredictor

@ATTRIBUTE homeTotalYdsLast3 real
@ATTRIBUTE homeTotalYdsSeason real
@ATTRIBUTE homePassYdsLast3 real
@ATTRIBUTE homePassYdsSeason real
@ATTRIBUTE homeRushYdsLast3 real
@ATTRIBUTE homeRushYdsSeason real
@ATTRIBUTE homeFirstDownsLast3 real
@ATTRIBUTE homeFirstDownsSeaon real
@ATTRIBUTE homeTurnoversLast3 real
@ATTRIBUTE homeTurnoversSeason real
@ATTRIBUTE homePuntsLast3 real
@ATTRIBUTE homePuntsSeason real
@ATTRIBUTE awayTotalYdsLast3 real
@ATTRIBUTE awayTotalYdsSeason real
@ATTRIBUTE awayPassYdsLast3 real
@ATTRIBUTE awayPassYdsSeason real
@ATTRIBUTE awayRushYdsLast3 real
@ATTRIBUTE awayRushYdsSeason real
@ATTRIBUTE awayFirstDownsLast3 real
@ATTRIBUTE awayFirstDownsSeason real
@ATTRIBUTE awayTurnoversLast3 real
@ATTRIBUTE awayTurnoversSeason real
@ATTRIBUTE awayPuntsLast3 real
@ATTRIBUTE awayPuntsSeason real
@ATTRIBUTE winner {H,A}

@Data
365.0, 365.0, 230.0, 230.0, 135.0, 135.0, 20.0, 20.0, 3.0, 3.0, 4.5, 4.5, 298.5, 298.5, 197.5, 197.5, 101.0, 101.0, 18.0, 18.0, 1.0, 1.0, 5.0, 5.0, H
298.5, 298.5, 197.5, 197.5, 101.0, 101.0, 18.0, 18.0, 1.0, 1.0, 5.0, 5.0, 365.0, 365.0, 230.0, 230.0, 135.0, 135.0, 20.0, 20.0, 3.0, 3.0, 4.5, 4.5, A
246.0, 246.0, 144.5, 144.5, 101.5, 101.5, 13.5, 13.5, 1.0, 1.0, 6.0, 6.0, 268.5, 268.5, 186.0, 186.0, 82.5, 82.5, 17.0, 17.0, 0.5, 0.5, 6.0, 6.0, A
268.5, 268.5, 186.0, 186.0, 82.5, 82.5, 17.0, 17.0, 0.5, 0.5, 6.0, 6.0, 246.0, 246.0, 144.5, 144.5, 101.5, 101.5, 13.5, 13.5, 1.0, 1.0, 6.0, 6.0, H
401.5, 401.5, 286.0, 286.0, 115.5, 115.5, 22.5, 22.5, 1.0, 1.0, 5.5, 5.5, 389.0, 389.0, 289.0, 289.0, 100.0, 100.0, 18.5, 18.5, 1.0, 1.0, 3.0, 3.0, A
389.0, 389.0, 289.0, 289.0, 100.0, 100.0, 18.5, 18.5, 1.0, 1.0, 3.0, 3.0, 401.5, 401.5, 286.0, 286.0, 115.5, 115.5, 22.5, 22.5, 1.0, 1.0, 5.5, 5.5, H
357.0, 357.0, 203.0, 203.0, 154.0, 154.0, 21.0, 21.0, 1.5, 1.5, 3.5, 3.5, 468.0, 468.0, 323.0, 323.0, 145.0, 145.0, 25.5, 25.5, 2.0, 2.0, 2.5, 2.5, A
468.0, 468.0, 323.0, 323.0, 145.0, 145.0, 25.5, 25.5, 2.0, 2.0, 2.5, 2.5, 357.0, 357.0, 203.0, 203.0, 154.0, 154.0, 21.0, 21.0, 1.5, 1.5, 3.5, 3.5, H
364.5, 364.5, 248.0, 248.0, 116.5, 116.5, 22.0, 22.0, 2.0, 2.0, 6.0, 6.0, 313.5, 313.5, 249.0, 249.0, 64.5, 64.5, 17.5, 17.5, 2.0, 2.0, 5.0, 5.0, A
313.5, 313.5, 249.0, 249.0, 64.5, 64.5, 17.5, 17.5, 2.0, 2.0, 5.0, 5.0, 364.5, 364.5, 248.0, 248.0, 116.5, 116.5, 22.0, 22.0, 2.0, 2.0, 6.0, 6.0, H
358.0, 358.0, 204.5, 204.5, 153.5, 153.5, 18.0, 18.0, 1.0, 1.0, 4.5, 4.5, 384.5, 384.5, 221.5, 221.5, 163.0, 163.0, 18.5, 18.5, 2.0, 2.0, 5.0, 5.0, H
384.5, 384.5, 221.5, 221.5, 163.0, 163.0, 18.5, 18.5, 2.0, 2.0, 5.0, 5.0, 358.0, 358.0, 204.5, 204.5, 153.5, 153.5, 18.0, 18.0, 1.0, 1.0, 4.5, 4.5, A
266.0, 266.0, 158.5, 158.5, 107.5, 107.5, 15.0, 15.0, 1.5, 1.5, 5.5, 5.5, 375.5, 375.5, 245.0, 245.0, 130.5, 130.5, 17.5, 17.5, 0.5, 0.5, 5.0, 5.0, A
375.5, 375.5, 245.0, 245.0, 130.5, 130.5, 17.5, 17.5, 0.5, 0.5, 5.0, 5.0, 266.0, 266.0, 158.5, 158.5, 107.5, 107.5, 15.0, 15.0, 1.5, 1.5, 5.5, 5.5, H
395.5, 395.5, 330.5, 330.5, 65.0, 65.0, 19.5, 19.5, 2.0, 2.0, 3.5, 3.5, 331.0, 331.0, 163.5, 163.5, 167.5, 167.5, 21.5, 21.5, 2.5, 2.5, 3.0, 3.0, H
331.0, 331.0, 163.5, 163.5, 167.5, 167.5, 21.5, 21.5, 2.5, 2.5, 3.0, 3.0, 395.5, 395.5, 330.5, 330.5, 65.0, 65.0, 19.5, 19.5, 2.0, 2.0, 3.5, 3.5, A
341.0, 341.0, 262.0, 262.0, 79.0, 79.0, 19.5, 19.5, 2.0, 2.0, 4.5, 4.5, 360.5, 360.5, 294.5, 294.5, 66.0, 66.0, 17.5, 17.5, 1.0, 1.0, 2.5, 2.5, A
360.5, 360.5, 294.5, 294.5, 66.0, 66.0, 17.5, 17.5, 1.0, 1.0, 2.5, 2.5, 341.0, 341.0, 262.0, 262.0, 79.0, 79.0, 19.5, 19.5, 2.0, 2.0, 4.5, 4.5, H
420.0, 420.0, 235.5, 235.5, 184.5, 184.5, 20.5, 20.5, 2.0, 2.0, 4.0, 4.0, 304.5, 304.5, 189.5, 189.5, 115.0, 115.0, 19.0, 19.0, 4.5, 4.5, 3.0, 3.0, H
304.5, 304.5, 189.5, 189.5, 115.0, 115.0, 19.0, 19.0, 4.5, 4.5, 3.0, 3.0, 420.0, 420.0, 235.5, 235.5, 184.5, 184.5, 20.5, 20.5, 2.0, 2.0, 4.0, 4.0, A
315.0, 315.0, 243.666666667, 243.666666667, 71.3333333333, 71.3333333333, 16.3333333333, 16.3333333333, 2.0, 2.0, 4.66666666667, 4.66666666667, 292.333333333, 292.333333333, 187.0, 187.0, 105.333333333, 105.333333333, 18.0, 18.0, 2.0, 2.0, 5.0, 5.0, H
292.333333333, 292.333333333, 187.0, 187.0, 105.333333333, 105.333333333, 18.0, 18.0, 2.0, 2.0, 5.0, 5.0, 315.0, 315.0, 243.666666667, 243.666666667, 71.3333333333, 71.3333333333, 16.3333333333, 16.3333333333, 2.0, 2.0, 4.66666666667, 4.66666666667, A
218.0, 218.0, 146.666666667, 146.666666667, 71.3333333333, 71.3333333333, 13.0, 13.0, 3.0, 3.0, 5.33333333333, 5.33333333333, 299.666666667, 299.666666667, 187.333333333, 187.333333333, 112.333333333, 112.333333333, 18.0, 18.0, 1.33333333333, 1.33333333333, 5.33333333333, 5.33333333333, A
299.666666667, 299.666666667, 187.333333333, 187.333333333, 112.333333333, 112.333333333, 18.0, 18.0, 1.33333333333, 1.33333333333, 5.33333333333, 5.33333333333, 218.0, 218.0, 146.666666667, 146.666666667, 71.3333333333, 71.3333333333, 13.0, 13.0, 3.0, 3.0, 5.33333333333, 5.33333333333, H
333.333333333, 333.333333333, 262.666666667, 262.666666667, 70.6666666667, 70.6666666667, 17.6666666667, 17.6666666667, 1.33333333333, 1.33333333333, 5.33333333333, 5.33333333333, 223.0, 223.0, 119.666666667, 119.666666667, 103.333333333, 103.333333333, 13.0, 13.0, 2.0, 2.0, 5.0, 5.0, H
223.0, 223.0, 119.666666667, 119.666666667, 103.333333333, 103.333333333, 13.0, 13.0, 2.0, 2.0, 5.0, 5.0, 333.333333333, 333.333333333, 262.666666667, 262.666666667, 70.6666666667, 70.6666666667, 17.6666666667, 17.6666666667, 1.33333333333, 1.33333333333, 5.33333333333, 5.33333333333, A
408.666666667, 408.666666667, 322.666666667, 322.666666667, 86.0, 86.0, 19.0, 19.0, 1.0, 1.0, 3.0, 3.0, 358.333333333, 358.333333333, 246.333333333, 246.333333333, 112.0, 112.0, 21.0, 21.0, 2.0, 2.0, 4.66666666667, 4.66666666667, H
358.333333333, 358.333333333, 246.333333333, 246.333333333, 112.0, 112.0, 21.0, 21.0, 2.0, 2.0, 4.66666666667, 4.66666666667, 408.666666667, 408.666666667, 322.666666667, 322.666666667, 86.0, 86.0, 19.0, 19.0, 1.0, 1.0, 3.0, 3.0, A
332.666666667, 332.666666667, 202.666666667, 202.666666667, 130.0, 130.0, 18.0, 18.0, 1.33333333333, 1.33333333333, 4.0, 4.0, 351.666666667, 351.666666667, 200.666666667, 200.666666667, 151.0, 151.0, 18.0, 18.0, 2.66666666667, 2.66666666667, 5.66666666667, 5.66666666667, H
