@RELATION nflpredictor

@ATTRIBUTE homeTotalYdsLast3 real
@ATTRIBUTE homeTotalYdsSeason real
@ATTRIBUTE homePassYdsLast3 real
@ATTRIBUTE homePassYdsSeason real
@ATTRIBUTE homeRushYdsLast3 real
@ATTRIBUTE homeRushYdsSeason real
@ATTRIBUTE homeFirstDownsLast3 real
@ATTRIBUTE homeFirstDownsSeaon real
@ATTRIBUTE homeTurnoversLast3 real
@ATTRIBUTE homeTurnoversSeason real
@ATTRIBUTE homePuntsLast3 real
@ATTRIBUTE homePuntsSeason real
@ATTRIBUTE homePosTimeLast3 real
@ATTRIBUTE homePosTimeSeason real
@ATTRIBUTE awayTotalYdsLast3 real
@ATTRIBUTE awayTotalYdsSeason real
@ATTRIBUTE awayPassYdsLast3 real
@ATTRIBUTE awayPassYdsSeason real
@ATTRIBUTE awayRushYdsLast3 real
@ATTRIBUTE awayRushYdsSeason real
@ATTRIBUTE awayFirstDownsLast3 real
@ATTRIBUTE awayFirstDownsSeason real
@ATTRIBUTE awayTurnoversLast3 real
@ATTRIBUTE awayTurnoversSeason real
@ATTRIBUTE awayPuntsLast3 real
@ATTRIBUTE awayPuntsSeason real
@ATTRIBUTE awayPosTimeLast3 real
@ATTRIBUTE awayPosTimeSeason real
@ATTRIBUTE winner {H,A}

@Data
218.0, 218.0, 146.666666667, 146.666666667, 71.3333333333, 71.3333333333, 13.0, 13.0, 3.0, 3.0, 5.33333333333, 5.33333333333, 1652.0, 1652.0, 299.666666667, 299.666666667, 187.333333333, 187.333333333, 112.333333333, 112.333333333, 18.0, 18.0, 1.33333333333, 1.33333333333, 5.33333333333, 5.33333333333, 1851.0, 1851.0, A
333.333333333, 333.333333333, 262.666666667, 262.666666667, 70.6666666667, 70.6666666667, 17.6666666667, 17.6666666667, 1.33333333333, 1.33333333333, 5.33333333333, 5.33333333333, 1688.33333333, 1688.33333333, 223.0, 223.0, 119.666666667, 119.666666667, 103.333333333, 103.333333333, 13.0, 13.0, 2.0, 2.0, 5.0, 5.0, 1534.33333333, 1534.33333333, H
408.666666667, 408.666666667, 322.666666667, 322.666666667, 86.0, 86.0, 19.0, 19.0, 1.0, 1.0, 3.0, 3.0, 1610.33333333, 1610.33333333, 358.333333333, 358.333333333, 246.333333333, 246.333333333, 112.0, 112.0, 21.0, 21.0, 2.0, 2.0, 4.66666666667, 4.66666666667, 1750.66666667, 1750.66666667, H
332.666666667, 332.666666667, 202.666666667, 202.666666667, 130.0, 130.0, 18.0, 18.0, 1.33333333333, 1.33333333333, 4.0, 4.0, 1711.66666667, 1711.66666667, 351.666666667, 351.666666667, 200.666666667, 200.666666667, 151.0, 151.0, 18.0, 18.0, 2.66666666667, 2.66666666667, 5.66666666667, 5.66666666667, 1633.33333333, 1633.33333333, H
264.333333333, 264.333333333, 164.0, 164.0, 100.333333333, 100.333333333, 15.6666666667, 15.6666666667, 1.0, 1.0, 6.33333333333, 6.33333333333, 1765.0, 1765.0, 391.666666667, 391.666666667, 249.666666667, 249.666666667, 142.0, 142.0, 21.3333333333, 21.3333333333, 0.666666666667, 0.666666666667, 3.33333333333, 3.33333333333, 2291.66666667, 2291.66666667, A
395.0, 395.0, 287.0, 287.0, 108.0, 108.0, 24.6666666667, 24.6666666667, 0.666666666667, 0.666666666667, 3.0, 3.0, 2155.66666667, 2155.66666667, 430.333333333, 430.333333333, 273.666666667, 273.666666667, 156.666666667, 156.666666667, 27.3333333333, 27.3333333333, 1.0, 1.0, 3.66666666667, 3.66666666667, 1996.0, 1996.0, H
341.333333333, 341.333333333, 249.666666667, 249.666666667, 91.6666666667, 91.6666666667, 19.3333333333, 19.3333333333, 1.33333333333, 1.33333333333, 4.0, 4.0, 1639.0, 1639.0, 296.333333333, 296.333333333, 210.0, 210.0, 86.3333333333, 86.3333333333, 16.6666666667, 16.6666666667, 1.0, 1.0, 6.0, 6.0, 1607.0, 1607.0, H
317.0, 317.0, 155.666666667, 155.666666667, 161.333333333, 161.333333333, 20.6666666667, 20.6666666667, 2.33333333333, 2.33333333333, 3.33333333333, 3.33333333333, 2133.66666667, 2133.66666667, 319.0, 319.0, 186.666666667, 186.666666667, 132.333333333, 132.333333333, 18.3333333333, 18.3333333333, 1.66666666667, 1.66666666667, 5.33333333333, 5.33333333333, 1577.0, 1577.0, H
438.0, 438.0, 267.333333333, 267.333333333, 170.666666667, 170.666666667, 24.0, 24.0, 1.66666666667, 1.66666666667, 3.33333333333, 3.33333333333, 2010.0, 2010.0, 315.0, 315.0, 185.0, 185.0, 130.0, 130.0, 16.3333333333, 16.3333333333, 1.33333333333, 1.33333333333, 6.0, 6.0, 2011.33333333, 2011.33333333, H
374.333333333, 374.333333333, 215.666666667, 215.666666667, 158.666666667, 158.666666667, 18.6666666667, 18.6666666667, 0.666666666667, 0.666666666667, 4.0, 4.0, 1910.66666667, 1910.66666667, 429.666666667, 429.666666667, 236.0, 236.0, 193.666666667, 193.666666667, 21.6666666667, 21.6666666667, 1.33333333333, 1.33333333333, 4.33333333333, 4.33333333333, 1774.33333333, 1774.33333333, H
276.0, 276.0, 164.333333333, 164.333333333, 111.666666667, 111.666666667, 14.0, 14.0, 0.666666666667, 0.666666666667, 7.66666666667, 7.66666666667, 1879.66666667, 1879.66666667, 276.0, 276.0, 158.666666667, 158.666666667, 117.333333333, 117.333333333, 16.3333333333, 16.3333333333, 1.66666666667, 1.66666666667, 5.33333333333, 5.33333333333, 1647.0, 1647.0, H
346.0, 346.0, 265.0, 265.0, 81.0, 81.0, 19.0, 19.0, 2.0, 2.0, 4.0, 4.0, 2026.33333333, 2026.33333333, 382.0, 382.0, 315.666666667, 315.666666667, 66.3333333333, 66.3333333333, 19.3333333333, 19.3333333333, 1.66666666667, 1.66666666667, 3.0, 3.0, 1745.0, 1745.0, H
317.333333333, 317.333333333, 173.666666667, 173.666666667, 143.666666667, 143.666666667, 18.6666666667, 18.6666666667, 0.666666666667, 0.666666666667, 5.33333333333, 5.33333333333, 1902.0, 1902.0, 313.0, 313.0, 207.333333333, 207.333333333, 105.666666667, 105.666666667, 19.3333333333, 19.3333333333, 0.333333333333, 0.333333333333, 5.33333333333, 5.33333333333, 1669.33333333, 1669.33333333, H
384.333333333, 413.5, 255.0, 267.0, 129.333333333, 146.5, 24.6666666667, 26.5, 1.33333333333, 1.25, 3.66666666667, 3.5, 1701.0, 1873.0, 322.333333333, 318.5, 187.333333333, 195.75, 135.0, 122.75, 19.6666666667, 18.75, 1.33333333333, 1.5, 6.0, 6.25, 1902.33333333, 1928.5, A
